30000 30000 30000 30000
reuter 3972 1427 5615 1967
shortsel 0 0 3 0
wall 162 35 874 125
street 400 46 957 163
dwindlingband 0 0 1 0
of 25841 18467 20693 23851
ultracyn 0 0 2 0
are 2082 1522 1904 3560
see 184 262 193 354
green 140 434 45 54
again 181 429 291 224
privat 121 46 318 292
invest 44 29 837 142
firm 117 54 1013 586
carlyl 0 0 8 0
groupwhich 0 0 1 0
ha 4420 3817 4026 5966
a 29637 24298 23896 24871
reput 25 53 20 26
for 8421 10370 9268 9716
make 576 757 693 1396
welltim 0 1 1 0
and 16847 14884 16367 17735
occasionallycontroversi 0 0 1 0
play 160 1925 96 306
in 24748 19930 18575 14619
the 47760 61081 43218 45097
defens 400 645 143 109
industri 204 15 1241 1038
quietli 16 19 18 70
placedit 0 0 1 0
bet 12 34 87 28
on 13311 10556 13470 9680
anoth 413 738 471 441
part 475 245 577 572
market 251 51 2222 1559
soar 32 16 289 60
crude 86 10 959 8
price 346 51 3980 631
plu 12 19 55 204
worriesabout 0 0 6 0
economi 224 5 1053 62
outlook 32 10 401 94
earn 79 257 1362 145
expect 504 500 1647 663
tohang 0 0 2 0
over 1956 3570 1786 1506
stock 236 26 2645 238
next 723 858 923 1183
week 1512 1500 1597 1594
dure 692 835 394 375
depth 5 29 6 9
thesumm 0 0 3 0
doldrum 1 2 7 2
author 677 55 196 244
have 3060 2684 1919 3466
halt 169 20 108 30
oil 580 16 4049 94
exportflow 0 0 1 0
from 4095 3255 4336 3991
main 317 95 210 148
pipelin 75 1 94 14
southern 630 246 75 80
iraq 3688 23 265 54
afterintellig 0 0 1 0
show 629 358 966 625
rebel 1038 15 40 2
militia 239 0 8 0
could 1018 806 898 1439
strikeinfrastructur 0 0 1 0
an 5534 3308 3405 4154
offici 2772 467 800 737
said 7578 1484 7182 3583
saturday 1522 2095 201 159
afp 1860 161 327 208
tearaway 0 0 1 0
world 1119 2593 1938 1689
toppl 63 8 13 7
record 381 940 1145 688
strain 53 112 29 49
wallet 2 2 17 31
present 83 63 64 95
new 2613 3551 5761 5288
econom 331 14 1000 52
menac 10 5 2 11
bare 32 61 56 34
three 1556 1471 712 634
month 975 672 1523 862
befor 778 860 542 477
us 4025 1112 6544 1845
presidenti 1010 12 184 133
elect 2289 53 257 202
end 1113 1234 877 502
slightli 68 15 287 31
higher 160 22 1157 112
fridaybut 0 0 1 0
stay 129 203 148 90
near 695 107 331 164
low 69 96 649 102
year 1881 2332 3262 2553
as 5176 4933 6983 4648
surg 90 49 414 68
past 224 479 280 324
3646a 0 0 1 0
barrel 81 5 763 11
offset 7 8 185 14
posit 183 390 249 189
comput 49 20 608 2803
makerdel 0 0 1 0
inc 68 10 4329 2307
dello 0 0 3 1
ap 2948 3145 241 2039
asset 17 4 318 62
nation 2354 1148 1093 687
retail 30 4 1234 325
money 105 119 287 178
mutual 10 9 228 11
fund 119 30 884 150
fell 91 85 1118 40
by 4878 3430 5377 4887
36117 0 0 1 1
billion 237 27 2230 583
latest 324 149 358 723
to 24585 22218 23082 25343
3684998 0 0 1 0
trillion 11 0 34 21
compani 406 83 5156 3869
institut 46 12 145 153
thursday 2009 1442 2448 1220
usatodaycom 27 7 12 98
sale 101 58 2245 668
bounc 12 61 60 16
back 630 1441 736 625
bit 12 78 59 85
juli 58 81 239 81
