0.06203559702782098 0.07395887333678935 0.0924485916709867 0.279419388284085 0.492137549680318
the 0.3957910995269814 0.4281741465285769 0.6305647840531562 0.8491004562279418 0.49081569115815693
of 0.18312578434211796 0.20291522823168393 0.25220692928334126 0.5652922441249892 0.3968711083437111
to 0.21787817356887731 0.23014959723820483 0.27973421926910297 0.5029697856589481 0.274673100871731
in 0.1670045371174824 0.14672036823935558 0.2059800664451827 0.32469656537832486 0.29125155666251556
said 0.14547736267979536 0.1339662447257384 0.17778832463217845 0.41344581217181714 0.2159090909090909
and 0.14113331402645043 0.147391637897967 0.15994304698623635 0.36283033485409316 0.24782067247820672
a 0.13621005888599286 0.10807441503644036 0.16668248694826768 0.37557028492726174 0.2420610211706102
mln 0.06670528043247417 0.07105868814729574 0.05097294731846227 0.13024016527502796 0.5928549190535491
it 0.0915146249637996 0.051304181051016494 0.09615567157095396 0.4427993457863476 0.2159090909090909
vs 9.653441451877595e-05 0.0029727656309934793 9.492168960607498e-05 8.608074373762589e-05 0.7159869240348692
dlr 0.048556810502944296 0.02694668200997315 0.02762221167536782 0.17835930102436084 0.3531288916562889
for 0.0677671589921807 0.09647103950901419 0.07223540579022307 0.19833003357149007 0.1389321295143213
ct 0.006178202529201661 0.0020138089758342925 0.00037968675842429994 0.005337006111732805 0.44084682440846823
net 0.002799498021044502 0.0011507479861910242 0.0022781205505457997 0.006972540242747697 0.3330479452054795
loss 0.0021237571194130706 0.0020138089758342925 0.0017085904129093498 0.006111732805371439 0.3167808219178082
on 0.05106670528043247 0.04142692750287687 0.07318462268628381 0.1020917620728243 0.08647260273972603
share 0.005502461627570229 0.0023014959723820483 0.0011390602752728999 0.1874838598605492 0.13301681195516812
year 0.0305048749879332 0.039892596854622174 0.022781205505457997 0.028578806920891795 0.20470112079701122
from 0.04817067284486919 0.042481779823551974 0.04318936877076412 0.07084445209606612 0.12009651307596513
pct 0.03793802490587895 0.0323168392788646 0.059990507831039395 0.11517603512094345 0.07549813200498132
compani 0.026353895163625834 0.0030686612965093976 0.0023730422401518746 0.15769992252733064 0.10437422166874222
is 0.0437300897770055 0.045550441120061375 0.05562411010915994 0.11681156925195833 0.049034869240348694
that 0.05531421951925861 0.045550441120061375 0.07119126720455624 0.09709907893604201 0.04016189290161893
shr 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 0.00043040371868812945 0.2547478206724782
be 0.03668307751713486 0.05024932873034139 0.04394874228761272 0.10346905397262632 0.05020236612702366
by 0.04421276184959938 0.03624856156501726 0.051067869008068346 0.09546354480502711 0.05074719800747198
at 0.0437300897770055 0.043920214806290755 0.07195064072140483 0.07256606697081863 0.04296388542963885
will 0.037165749589728736 0.03135788262370541 0.03559563360227812 0.09047086166824482 0.06351183063511831
inc 0.006178202529201661 0.0023014959723820483 0.00208827717133365 0.12292330205732978 0.09861457036114571
with 0.031566753547639735 0.029248177982355197 0.04670147128618889 0.09615219075492812 0.03907222914072229
profit 0.0024133603629693987 0.0014384349827387803 0.0018035121025154247 0.009038478092450718 0.19504981320049813
bank 0.00830195964861473 0.0005753739930955121 0.12842904603701946 0.05156236549883791 0.04459838107098381
ha 0.024712810116806642 0.027809742999616416 0.03284290460370195 0.10803133339072049 0.02778642590286426
wa 0.04257167680278019 0.028864595320291522 0.04945420028476507 0.06473271929069467 0.03432440846824408
he 0.042475142388261417 0.02541235136171845 0.059800664451827246 0.05233709219247654 0.033156911581569116
oper 0.008205425234095955 0.0038358266206367474 0.006644518272425249 0.029009210639579924 0.13184931506849315
us 0.030408340573414423 0.06377061756808593 0.05486473659231134 0.03753120426960489 0.01805728518057285
an 0.028960324355632783 0.027138473341004988 0.02800189843379212 0.07661186192648704 0.032534246575342464
corp 0.010329182353509025 0.001822017644802455 0.0011390602752728999 0.09821812860463114 0.07059464508094646
not 0.023940534800656433 0.028481012658227847 0.03986710963455149 0.06705689937161056 0.02856475716064757
would 0.031373684718602184 0.030398925968546223 0.035310868533459897 0.06791770680898683 0.023116438356164382
as 0.0336905106670528 0.025124664365170694 0.04072140484100617 0.054833433760867696 0.03245641344956413
billion 0.01592817839559803 0.007959340237821251 0.04394874228761272 0.018851682878540072 0.08732876712328767
sale 0.005019789554976349 0.012850019179133103 0.004935927859515899 0.05259533442368942 0.08904109589041095
1986 0.013225214789072305 0.009110088224012275 0.005790223065970574 0.018851682878540072 0.11394769613947696
or 0.010039579109952698 0.012850019179133103 0.012624584717607974 0.05724369458552122 0.06320049813200498
market 0.015542040737522926 0.02685078634445723 0.07973421926910298 0.025479900146337265 0.01611145703611457
oil 0.13785114393281206 0.0038358266206367474 0.0019933554817275745 0.010243608504777481 0.012608966376089664
stock 0.012742542716478424 0.005657844265439202 0.0055054579971523495 0.06920891796505121 0.05245952677459527
which 0.019210348489236414 0.01668584579976985 0.022116753678215473 0.05862098648532323 0.02973225404732254
rev 9.653441451877595e-05 9.589566551591868e-05 9.492168960607498e-05 8.608074373762589e-05 0.12741282689912828
qtr 0.0004826720725938797 9.589566551591868e-05 9.492168960607498e-05 0.00017216148747525178 0.12686799501867996
price 0.05647263249348393 0.03193325661680092 0.01044138585666825 0.029525695102005683 0.014943960149439602
offer 0.0038613765807510377 0.016877637130801686 0.006264831514000949 0.1017474390978738 0.006537982565379826
but 0.024712810116806642 0.02090525508247027 0.03958234456573327 0.03021434105190669 0.021871108343711084
had 0.017955401100492326 0.01169927119294208 0.03151400094921689 0.04751657054316949 0.023272104607721045
about 0.018824210831161307 0.010644418872266973 0.01945894636924537 0.05001291211156064 0.027942092154420922
thi 0.01978955497634907 0.02896049098580744 0.037019458946369245 0.02134802444693122 0.02342777085927771
have 0.01998262380538662 0.026467203682393557 0.028096820123398196 0.038908496169406906 0.015722291407222914
one 0.01621778163915436 0.011411584196394323 0.021642145230185098 0.030300421795644315 0.03977272727272727
were 0.02451974128776909 0.023590333716915997 0.023065970574276222 0.030300421795644315 0.021948941469489416
last 0.025292016603919297 0.02176831607211354 0.023160892263882297 0.023069639321683738 0.027630759651307596
group 0.005212858384013901 0.0030686612965093976 0.004651162790697674 0.07110269432727899 0.030510585305105854
are 0.018920745245680087 0.025124664365170694 0.026578073089700997 0.03288284410777309 0.01774595267745953
also 0.016121247224635583 0.01227464518603759 0.019364024679639297 0.04269604889386244 0.0273972602739726
expect 0.010811854426102906 0.01083621020329881 0.021642145230185098 0.022983558577946112 0.042185554171855544
note 0.0021237571194130706 0.002685078634445723 0.00816326530612245 0.009554962554876475 0.07728829389788294
includ 0.005405927213051453 0.005657844265439202 0.005030849549121974 0.020659378497030215 0.06063200498132005
report 0.01930688290375519 0.019850402761795168 0.010915994304698624 0.013256434535594388 0.038605230386052306
co 0.006371271358239212 0.0019179133103183737 0.002183198860939725 0.04966858913661014 0.03782689912826899
per 0.012935611545515976 0.013713080168776372 0.0025628856193640245 0.024188688990272877 0.045376712328767124
new 0.013225214789072305 0.010644418872266973 0.017845277645942098 0.03778944650081777 0.02210460772104608
april 0.004730186311420022 0.009110088224012275 0.007593735168485999 0.012739950073168632 0.0600093399750934
two 0.010136113524471474 0.01237054085155351 0.01566207878500237 0.027287595764827408 0.03206724782067248
march 0.010039579109952698 0.009110088224012275 0.011295681063122924 0.021864508909356976 0.043119551681195516
unit 0.009556907037358819 0.005466052934407365 0.007783578547698149 0.05431694929844194 0.019536114570361144
rate 0.004633651896901245 0.005466052934407365 0.07669672520170859 0.003271068262029784 0.011674968866749688
dollar 0.0018341538758567429 0.0004794783275795934 0.08561936402467964 0.0015494533872772661 0.007160647571606476
31 0.0017376194613379669 0.0023014959723820483 0.0023730422401518746 0.008435912886287337 0.06654732254047323
industri 0.017086591369823344 0.0055619485999232835 0.013194114855244424 0.030730825514332444 0.02226027397260274
quarter 0.005212858384013901 0.0008630609896432681 0.0030374940673943995 0.004648360161831799 0.06740348692403487
up 0.018245004344048653 0.012850019179133103 0.01613668723303275 0.02453301196522338 0.018212951432129514
they 0.014769765421372719 0.017644802454929037 0.02857142857142857 0.025652061633812517 0.005759651307596513
product 0.03127715030408341 0.018411967779056387 0.0024679639297579496 0.020056813290866834 0.01805728518057285
trade 0.007915821990539628 0.02032988108937476 0.04280968201233982 0.01299819230438151 0.008405977584059776
exchang 0.0028960324355632784 0.005466052934407365 0.04670147128618889 0.027373676508565033 0.008250311332503113
dividend 0.0001930688290375519 9.589566551591868e-05 9.492168960607498e-05 0.00292674528707928 0.07386363636363637
record 0.0009653441451877594 0.0055619485999232835 0.005695301376364499 0.00335714900576741 0.06366749688667497
tonn 0.0024133603629693987 0.0883199079401611 9.492168960607498e-05 0.0006025652061633813 0.0010896637608966376
first 0.007240081088908196 0.004890678941311853 0.0074988134788799244 0.02220883188430748 0.0388387297633873
end 0.008398494063133507 0.006425009589566552 0.007593735168485999 0.014547645691658775 0.043508717310087174
earn 0.0017376194613379669 0.0004794783275795934 0.0011390602752728999 0.008263751398812086 0.06343399750933998
may 0.00666087460179554 0.014288454161871883 0.00854295206454675 0.018163036928639062 0.03222291407222914
been 0.013514818032628632 0.015055619485999233 0.017845277645942098 0.02539381940259964 0.011674968866749688
