0.25 0.25 0.25 0.25
the 1.194025 1.52705 1.080475 1.12745
a 0.74095 0.607475 0.597425 0.6218
to 0.61465 0.555475 0.577075 0.6336
of 0.64605 0.4617 0.51735 0.5963
in 0.618725 0.498275 0.4644 0.3655
and 0.4212 0.372125 0.4092 0.4434
on 0.3328 0.263925 0.336775 0.242025
it 0.1497 0.12125 0.384225 0.344
for 0.21055 0.259275 0.231725 0.242925
39 0.13865 0.2248 0.201225 0.135625
that 0.167525 0.11165 0.180575 0.23085
with 0.12875 0.177925 0.106875 0.150825
as 0.129425 0.12335 0.1746 0.116225
at 0.12895 0.196575 0.096875 0.09455
is 0.098575 0.104475 0.11145 0.1825
said 0.189475 0.037125 0.179575 0.0896
by 0.121975 0.085775 0.13445 0.1222
ha 0.110525 0.09545 0.100675 0.149175
new 0.06535 0.0888 0.14405 0.132225
an 0.138375 0.082725 0.08515 0.103875
from 0.1024 0.0814 0.108425 0.0998
hi 0.11725 0.188575 0.0297 0.023825
will 0.054175 0.082475 0.093375 0.109225
us 0.10065 0.027825 0.163625 0.04615
wa 0.107975 0.13015 0.052825 0.043175
reuter 0.099325 0.0357 0.1404 0.0492
after 0.08995 0.099925 0.08455 0.035225
be 0.073375 0.082125 0.05515 0.0951
have 0.076525 0.067125 0.048 0.086675
their 0.06025 0.091175 0.042575 0.06085
year 0.04705 0.058325 0.081575 0.06385
compani 0.010175 0.0021 0.128925 0.09675
are 0.052075 0.038075 0.047625 0.089025
over 0.048925 0.089275 0.044675 0.037675
he 0.0607 0.1128 0.021475 0.017825
ap 0.073725 0.07865 0.00605 0.051
but 0.04415 0.056575 0.051925 0.0534
two 0.072925 0.060775 0.03125 0.036275
first 0.035425 0.08705 0.030375 0.045175
thi 0.03175 0.05885 0.04105 0.060575
more 0.0469 0.0265 0.0565 0.058775
monday 0.0532 0.036975 0.06435 0.030025
world 0.028 0.06485 0.048475 0.04225
wednesday 0.051025 0.04055 0.063225 0.027625
tuesday 0.048425 0.035875 0.06255 0.0342
thursday 0.05025 0.036075 0.061225 0.030525
inc 0.001725 0.000275 0.10825 0.0577
up 0.0362 0.036375 0.047 0.047425
friday 0.048875 0.039425 0.057825 0.020475
one 0.037 0.061475 0.02465 0.04135
report 0.0441 0.010875 0.068775 0.036
week 0.037825 0.037525 0.03995 0.039875
yesterday 0.0468 0.0417 0.04915 0.0151
state 0.0572 0.0379 0.034525 0.0218
last 0.0293 0.06655 0.03125 0.024075
game 0.00395 0.1063 0.004975 0.0353
york 0.01605 0.04125 0.08215 0.01085
they 0.0345 0.049325 0.022375 0.04365
not 0.039 0.0465 0.027125 0.035075
against 0.034425 0.060775 0.03115 0.020875
say 0.0527 0.016075 0.032925 0.04475
than 0.03525 0.02375 0.04675 0.0401
about 0.02865 0.026675 0.05075 0.03975
who 0.051775 0.0456 0.0191 0.0288
were 0.063425 0.036225 0.027075 0.01655
into 0.0374 0.034925 0.027025 0.042125
presid 0.100275 0.005725 0.0221 0.01095
unit 0.04845 0.032625 0.040525 0.01625
quot 0.030825 0.02485 0.049075 0.032975
been 0.04185 0.033925 0.020425 0.0396
out 0.031125 0.048775 0.0226 0.03215
million 0.0147 0.013975 0.0649 0.03865
nation 0.058875 0.028725 0.02735 0.0172
had 0.03575 0.0498 0.02495 0.01805
corp 0.00245 0.000625 0.074425 0.0479
price 0.008675 0.0013 0.099525 0.0158
time 0.019425 0.044475 0.02835 0.031
plan 0.03125 0.008275 0.043925 0.0387
when 0.022675 0.055125 0.017875 0.025675
govern 0.063725 0.003275 0.035625 0.017475
sunday 0.0475 0.06135 0.007025 0.004025
offici 0.069325 0.0117 0.020025 0.01845
oil 0.014525 0.000425 0.10125 0.002375
day 0.03805 0.0368 0.023675 0.0193
secur 0.046 0.004525 0.021875 0.045
would 0.0325 0.0231 0.03655 0.022525
group 0.034875 0.0088 0.048225 0.0221
which 0.025475 0.017425 0.029525 0.041175
today 0.03005 0.0235 0.0274 0.03135
peopl 0.06925 0.005 0.012475 0.0252
announc 0.013825 0.014 0.0313 0.052225
three 0.038925 0.0368 0.017825 0.015875
servic 0.008375 0.00165 0.0302 0.0689
team 0.005825 0.08605 0.0025 0.01065
could 0.025475 0.020175 0.022475 0.036
market 0.0063 0.0013 0.055575 0.039
month 0.0244 0.016825 0.0381 0.021575
iraq 0.092225 0.0006 0.00665 0.001375
win 0.010575 0.0806 0.0044 0.0048
saturday 0.038075 0.0524 0.00505 0.004
no 0.017375 0.0504 0.01715 0.014575
kill 0.09315 0.002675 0.0009 0.002525
night 0.014225 0.0759 0.003775 0.003875
percent 0.0068 0.002225 0.073975 0.01395
open 0.01245 0.045875 0.018725 0.019475
softwar 0.00055 2.5e-05 0.017725 0.077275
end 0.02785 0.030875 0.02195 0.012575
or 0.01765 0.016325 0.0212 0.0379
use 0.0147 0.0105 0.0129 0.0549
minist 0.08155 0.000875 0.00845 0.001775
next 0.0181 0.021475 0.0231 0.0296
season 0.0024 0.074675 0.009425 0.0047
second 0.01405 0.048 0.01735 0.01085
busi 0.0064 0.002625 0.0439 0.036925
other 0.02695 0.011 0.020075 0.030875
microsoft 0.000375 2.5e-05 0.0108 0.077375
intern 0.023375 0.0162 0.02845 0.01955
countri 0.0514 0.007525 0.017225 0.01115
comput 0.00125 0.000525 0.015225 0.0701
lead 0.014 0.049775 0.009775 0.013075
back 0.015775 0.03605 0.018425 0.01565
make 0.014425 0.01895 0.01735 0.034925
some 0.0178 0.0135 0.0222 0.030225
expect 0.012625 0.012525 0.0412 0.0166
share 0.003225 0.0047 0.05675 0.01825
network 0.0043 0.0327 0.01205 0.032575
take 0.015675 0.02545 0.0193 0.020925
internet 0.00275 0.0004 0.011275 0.066825
help 0.0165 0.01515 0.02185 0.026925
technolog 0.003675 0.00015 0.019025 0.05635
record 0.00955 0.023525 0.02865 0.017225
stock 0.005925 0.000675 0.06615 0.005975
off 0.016075 0.027825 0.0184 0.016275
may 0.013725 0.0111 0.025225 0.02815
can 0.0109 0.0176 0.0126 0.037025
system 0.00445 0.001125 0.014175 0.058275
washington 0.017125 0.01525 0.028 0.017575
all 0.016525 0.026575 0.0118 0.02245
american 0.024275 0.02515 0.018925 0.008725
billion 0.00595 0.0007 0.055775 0.0146
sale 0.00255 0.001475 0.05615 0.016725
most 0.019375 0.01885 0.01335 0.0252
research 0.0043 0.0002 0.034975 0.03655
leader 0.05725 0.00755 0.005325 0.005275
citi 0.039225 0.018 0.00955 0.008375
2004 0.013725 0.01625 0.016975 0.028125
former 0.027625 0.0236 0.018575 0.0052
releas 0.022025 0.00515 0.0102 0.0373
victori 0.007675 0.061925 0.002075 0.001
final 0.00935 0.046225 0.007875 0.008925
home 0.019425 0.0256 0.0131 0.013625
feder 0.008575 0.00875 0.03865 0.015775
offer 0.0077 0.006125 0.025275 0.031725
if 0.0162 0.02075 0.0149 0.018975
elect 0.05725 0.00135 0.00645 0.005075
manag 0.0026 0.026225 0.018675 0.022475
start 0.009925 0.035525 0.011575 0.0128
top 0.019075 0.0209 0.0178 0.011875
bank 0.01415 0.002725 0.04865 0.00365
call 0.02665 0.009875 0.011 0.021475
attack 0.049675 0.003125 0.00535 0.01075
player 0.001325 0.047975 0.002925 0.016675
forc 0.0436 0.006575 0.010325 0.008225
giant 0.0036 0.01515 0.028875 0.021
news 0.016425 0.00785 0.024725 0.019325
run 0.008075 0.038575 0.00605 0.0146
product 0.0035 0.0008 0.02895 0.0337
european 0.021025 0.0098 0.0246 0.0113
trade 0.009925 0.006625 0.041475 0.008675
befor 0.019475 0.021525 0.013575 0.01195
four 0.020675 0.02585 0.011125 0.008675
oper 0.012225 0.0015 0.0251 0.027225
major 0.015325 0.016825 0.01855 0.014925
move 0.0133 0.0158 0.019725 0.0164
leagu 0.002225 0.061525 0.000375 0.000575
show 0.01575 0.008975 0.024175 0.01565
maker 0.001625 0.00055 0.037325 0.02505
san 0.003525 0.019975 0.012625 0.0284
just 0.00965 0.024325 0.011325 0.019075
like 0.0093 0.01785 0.01545 0.021675
afp 0.046525 0.00405 0.0082 0.005225
accord 0.0132 0.00655 0.01795 0.025925
set 0.015175 0.01755 0.014325 0.016575
get 0.008525 0.0209 0.01085 0.02325
industri 0.005125 0.0004 0.03105 0.025975
down 0.014 0.017775 0.01945 0.0113
profit 0.00175 0.000325 0.054375 0.005875
play 0.004025 0.04815 0.002425 0.007675
what 0.012125 0.017025 0.010075 0.022325
you 0.002325 0.01615 0.010425 0.032275
deal 0.011275 0.009925 0.025975 0.01375
execut 0.005375 0.0031 0.037125 0.015175
prime 0.056275 0.000975 0.002175 0.00135
includ 0.018825 0.00885 0.0128 0.01965
chief 0.01375 0.005675 0.0303 0.01035
third 0.007675 0.023025 0.0212 0.0076
china 0.02145 0.006425 0.019525 0.0114
develop 0.0065 0.00135 0.0119 0.039
bush 0.04065 0.001575 0.009825 0.006425
sport 0.001175 0.052725 0.00205 0.0025
made 0.01335 0.02115 0.0102 0.013475
while 0.015275 0.015175 0.015375 0.01215
court 0.02015 0.00715 0.018725 0.01185
dure 0.017325 0.0209 0.009875 0.0094
coach 0.0007 0.0561 0.0003 0.0001
least 0.036425 0.007675 0.007375 0.005525
now 0.00775 0.01545 0.01055 0.023175
onlin 0.001125 0.00465 0.01025 0.04085
between 0.01925 0.014025 0.01225 0.01135
agre 0.013275 0.00715 0.028475 0.007775
